,shop_name,phone_number,address,email,category,website
21,Soda Ruby TV,0587971040,"280 nguyen chi thang quan 5, phường(xã) Phường 04, Quận 5, Hồ Chí Minh",,[],https://www.sendo.vn/shop/soda-ruby-tv/
22,Netvietshop,0366754757,"110 thien Ho Duong, phường(xã) Phường An Thạnh, Thị xã Hồng Ngự, Đồng Tháp",,[],https://www.sendo.vn/shop/netvietshop/
23,shopmetao,0369996732,"11 ngõ 121 đại la, phường(xã) Phường Trương Định, Quận Hai Bà Trưng, Hà Nội",,[],https://www.sendo.vn/shop/shopmetao/
24,NgocLiênShop,0383059391,"57 Ấp 4,hưng phước,bù đốp,bình phước, phường(xã) Xã Hưng Phước, Huyện Bù Đốp, Bình Phước",,[],https://www.sendo.vn/shop/ngoclienshop/
25,123 Thời Trang,0941239606,"23 đường số 2, phường Bình Hưng Hòa A, Bình Tân, HCM, phường(xã) Phường Binh Hưng Hoà A, Quận Bình Tân, Hồ Chí Minh",,[],https://www.sendo.vn/shop/123-thoi-trang/
26,Mỹ Phẩm Thiên Nhiên Orga,0983089870,"Lập Ái - Song Giang - Gia Bình - Bắc Ninh, phường(xã) Xã Song Giang, Huyện Gia Bình, Bắc Ninh",,[],https://www.sendo.vn/shop/my-pham-thien-nhien-orga/
27,Mua đồ tết,0778512963,"15A đừơng số 4 lê văn quới, phường(xã) Phường Binh Hưng Hoà A, Quận Bình Tân, Hồ Chí Minh",,[],https://www.sendo.vn/shop/mua-do-tet/
28,Nha may Song Phương,0905508488,"Khu 6- TT.Trạm trôi, Hoài Đức, Hà Nội, phường(xã) Thị trấn Trạm Trôi, Huyện Hoài Đức, Hà Nội",,[],https://www.sendo.vn/shop/nha-may-song-phuong/
29,Bò khô tết,0868610223,"20 ngõ 528 Bạch Đằng, phường(xã) Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội",,[],https://www.sendo.vn/shop/bo-kho-tet/
30,Hồ thơm,0946638273,"Thôn 6 khai sơn anh sơn nghệ an, phường(xã) Xã Khai Sơn, Huyện Anh Sơn, Nghệ An",,['Bách Hóa Tổng Hợp'],https://www.sendo.vn/shop/ho-thom/
31,Linh,0813659914,"Sồ Đô, phường(xã) Xã Thạnh Hưng, Thị xã Kiến Tường, Long An",,['Đồ chơi'],https://www.sendo.vn/shop/linh1111/
32,Son Ty,0886893639,"173 Đường số 20 phường 5 Gò vấp, phường(xã) Phường 05, Quận Gò Vấp, Hồ Chí Minh",,[],https://www.sendo.vn/shop/son-ty/
33,DU LỊCH GIÁ RẺ,0969996201,"số 35 đường 53 lâm văn bền, phường Bình Thuận, quận 7, phường(xã) Phường Bình Thuận, Quận 7, Hồ Chí Minh",,['Voucher dịch vụ'],https://www.sendo.vn/shop/tourgiare/
34,Ppoi,0968219462,"26 Lý Tự Trọng, phường(xã) Phường Bến Nghé, Quận 1, Hồ Chí Minh",,[],https://www.sendo.vn/shop/ppoi/
35,shop phụ tùng xe hai bánh,0903129910,"146/67 đường chiến lược, phường(xã) Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",,[],https://www.sendo.vn/shop/shop-phu-tung-xe-hai-banh/
36,Kho Hàng Điện Tử,0888115035,"Trần Cao Vân (Chợ Giời), phường(xã) Phường Phố Huế, Quận Hai Bà Trưng, Hà Nội",,['Tân Trang Nhà Cửa'],https://www.sendo.vn/shop/kho-hang-dien-tu/
37,rudyshop,0983221659,"tổ 9, Hợp Minh, tp Yên Bái, phường(xã) Phường Hợp Minh, Thành phố Yên Bái, Yên Bái",,[],https://www.sendo.vn/shop/rudyshop/
38,Hiền Xù 87,0934588502,"Kiều Mai, phường(xã) Phường Phúc Diễn, Quận Bắc Từ Liêm, Hà Nội",,['Bách Hóa Tổng Hợp'],https://www.sendo.vn/shop/hien-xu-87/
39,,,,,,
40,HTC TECH,0846899488,"102 phổ quang, phường(xã) Phường 02, Quận Tân Bình, Hồ Chí Minh",,[],https://www.sendo.vn/shop/htc-tech/
41,Laptop giá Rẻ,0965901420,"205 B4 Tập thể cơ khí Hà Nội, phường(xã) Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",,[],https://www.sendo.vn/shop/laptop-gia-re/
42,B.L shop,0915636165,"15/37 Võ Duy Ninh, phường(xã) Phường 22, Quận Bình Thạnh, Hồ Chí Minh",,"['Thời trang nữ', 'Sức khỏe & Làm đẹp', 'Nhà cửa', 'Ô tô - Xe máy']",https://www.sendo.vn/shop/b-l-shop/
43,BB SHOP MOCKHOA,0934434387,"334 Hoang Hoa Tham, phường(xã) Phường 01, Quận Gò Vấp, Hồ Chí Minh",,['Đời sống'],https://www.sendo.vn/shop/bb-shop-mockhoa/
44,hang auth,0969491562,"số 2- ngõ 90, phường(xã) Xã Liên Trung, Huyện Đan Phượng, Hà Nội",,['Sức khỏe & Làm đẹp'],https://www.sendo.vn/shop/hang-auth/
45,phale,0706805757,"479/9/6/1  khu phố 4 hương lộ 2, phường(xã) Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",,['Phụ kiện công nghệ'],https://www.sendo.vn/shop/phale/
46,KHĂN BÔNG MUSES,0988863507,"Số 3, ngách 470/8, ngõ 470 Đại Mỗ, Nam Từ Liêm, Hà Nội, phường(xã) Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",,['Nhà cửa'],https://www.sendo.vn/shop/khan-bong-muses/
47,Lamhung,0985062975,"673/71 Đường Ngọc Hồi, phường(xã) Xã Ngọc Hồi, Huyện Thanh Trì, Hà Nội",,"['Nhà cửa', 'Bách Hóa Tổng Hợp']",https://www.sendo.vn/shop/lamhung/
48,Phụ kiện chính hãng Zin,0973181119,"125A Trương Định - Hai Bà Trưng - Hà Nội, phường(xã) Phường Trương Định, Quận Hai Bà Trưng, Hà Nội",,"['Phụ kiện công nghệ', 'Thiết bị âm thanh']",https://www.sendo.vn/shop/phu-kien-chinh-hang-zin/
49,susumax,0932173568,"159 nguyễn thị kiêu p. thới an, phường(xã) Phường Thới An, Quận 12, Hồ Chí Minh",,"['Điện thoại - Máy tính bảng', 'Phụ kiện công nghệ']",https://www.sendo.vn/shop/susumax/
50,,,,,,
51,SosuShop,0392787713,"7A Tống Duy Tân, phường(xã) Phường Hàng Bông, Quận Hoàn Kiếm, Hà Nội",,[],https://www.sendo.vn/shop/sosushop/
52,athayroi,0984255549,"371/28 trường chinh , p14 , phường(xã) Phường 14, Quận Tân Bình, Hồ Chí Minh",,"['Thời trang nữ', 'Giày dép', 'Túi xách', 'Mẹ và bé', 'Đồ điện gia dụng', 'Thiết bị y tế', 'Đồng hồ', 'Nhà cửa', 'Sức khỏe & Làm đẹp', 'Sách & Văn phòng phẩm', 'Đồ chơi', 'Đời sống', 'Ô tô - Xe máy', 'Thể thao - Dã ngoại - Giải trí', 'Bách Hóa Tổng Hợp', 'Tân Trang Nhà Cửa', 'Trang sức']",https://www.sendo.vn/shop/athayroi/
53,,,,,,
54,Cici shop 4a081,0389686768,"97/3 bà triệu, phường(xã) Thị trấn Hóc Môn, Huyện Hóc Môn, Hồ Chí Minh",,"['Thiết bị y tế', 'Nhà cửa', 'Đồ chơi']",https://www.sendo.vn/shop/cici-shop-4a081/
55,Ớt Shop HD,0966816767,"306 Ngo Quyen, phường(xã) Phường Tân Bình, Thành phố Hải Dương , Hải Dương",,[],https://www.sendo.vn/shop/ot-shop-hd/
56,HỒNG NHUNG - SHOP,0937690943,"964/35 Nguyễn Văn Quá, tổ 8, khu phố 1A, phường(xã) Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",,"['Thời trang nữ', 'Túi xách']",https://www.sendo.vn/shop/hong-nhung---shop/
57,,,,,,
58,Shop Hàng Gia Dụng Tiện Ích,0972578304,"SN 4, ngách 53, ngõ 102 Hoàng Đạo Thành, phường(xã) Phường Kim Giang, Quận Thanh Xuân, Hà Nội",,"['Túi xách', 'Đồ điện gia dụng', 'Nhà cửa']",https://www.sendo.vn/shop/shop-hang-gia-dung-tien-ich/
59,,,,,,
60,Xe đạp123,0963265382,"301A Đường Hoàng Liên, phường(xã) Phường Cốc Lếu, Thành phố Lào Cai, Lào Cai",,['Thể thao - Dã ngoại - Giải trí'],https://www.sendo.vn/shop/xe-dap123/
61,Đồ handmade cực ngầu,0901268400,"Time Sun See studio, lầu 3, 55 Trần Nhật Duật, phường(xã) Phường Tân Định, Quận 1, Hồ Chí Minh",,['Đời sống'],https://www.sendo.vn/shop/timesunsee/
62,ĐH Y Thái Bình,0944502823,"Khu đô thị petro Thăng Long, phường(xã) Phường Quang Trung, Thành phố Thái Bình, Thái Bình",,['Thiết bị y tế'],https://www.sendo.vn/shop/dh-y-thai-binh/
63,,,,,,
64,Vien Thong Hoa My,0967101666,"CH Viettel Hòa Mỹ - số 168 - Ấp Hòa Mỹ, phường(xã) Xã Hòa Mỹ, Huyện Phụng Hiệp, Hậu Giang",,['Phụ kiện công nghệ'],https://www.sendo.vn/shop/vien-thong-hoa-my/
65,ALX,0938344850,"40 Bà Huyện Thanh Quan, phường(xã) Phường 06, Quận 3, Hồ Chí Minh",,['Thời trang nữ'],https://www.sendo.vn/shop/alx/
66,NonTronstore,0792484444,"275/25 kênh tân hóa, phường(xã) Phường Hoà Thạnh, Quận Tân Phú, Hồ Chí Minh",,"['Thời trang nữ', 'Túi xách', 'Phụ kiện thời trang']",https://www.sendo.vn/shop/nontronstore/
67,tinashop19,0933327927,"91/1 đường nguyễn đình kiên, phường(xã) Phường Tân Tạo A, Quận Bình Tân, Hồ Chí Minh",,[],https://www.sendo.vn/shop/tinashop19/
68,quỳnh bi house's 9ba28,0902677536,"biên hoà đồng nai, phường(xã) Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai",,['Thời trang nữ'],https://www.sendo.vn/shop/quynh-bi-houses-9ba28/
69,siêu thị điện máy aset,0963379854,"bạch đằng, phường(xã) Xã Quang Minh, Huyện Kiến Xương, Thái Bình",,"['Túi xách', 'Phụ kiện công nghệ', 'Đồ điện gia dụng', 'Thiết bị y tế', 'Thiết bị âm thanh', 'Sức khỏe & Làm đẹp', 'Nhà cửa', 'Đồ chơi', 'Ô tô - Xe máy', 'Thể thao - Dã ngoại - Giải trí', 'Bách Hóa Tổng Hợp']",https://www.sendo.vn/shop/sieu-thi-dien-may-aset/
70,,,,,,
71,Shop Phụ Kiện rẻ,0966439800,"630 điện biên phủ, phường(xã) Phường 22, Quận Bình Thạnh, Hồ Chí Minh",,"['Phụ kiện công nghệ', 'Đồ điện gia dụng', 'Thiết bị âm thanh', 'Phụ kiện thời trang', 'Đời sống', 'Tân Trang Nhà Cửa']",https://www.sendo.vn/shop/shop-phu-kien-re/
72,Trang Sức Nga,0936208923," số nhà 16A ngõ 307A phố Bạch Mai, phường(xã) Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",,"['Phụ kiện thời trang', 'Trang sức']",https://www.sendo.vn/shop/trang-suc-nga/
73,hellen,0357301460,"50A B3, phường(xã) Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh",,"['Thời trang nam', 'Thời trang nữ']",https://www.sendo.vn/shop/hellen/
74,chơi đồ kiểu phụ tùng xe hào90,0399336773,"79a đỗ ngọc thạnh, phường(xã) Phường 15, Quận 5, Hồ Chí Minh",,['Ô tô - Xe máy'],https://www.sendo.vn/shop/choi-do-kieu-phu-tung-xe-hao90/
75,Hangnhap,0935353634,"B11.12bis, Căn hộ ruby, 36 bờ bao tân thắng, phường(xã) sơn kỳ, Quận Tân Phú, Hồ Chí Minh",,"['Mẹ và bé', 'Sức khỏe & Làm đẹp', 'Bách Hóa Tổng Hợp']",https://www.sendo.vn/shop/hangnhap/
76,Thời Thượng shop,0934571168,"Số 5 ngách 3, ngõ 43 đường Nguyễn Ngọc Nại, phường(xã) Phường Khương Mai, Quận Thanh Xuân, Hà Nội",,"['Thời trang nữ', 'Thời trang nam', 'Giày dép']",https://www.sendo.vn/shop/thoi-thuong-shop/
77,SHOPdientuhoanganhgiare,0982977753,"132 đường bờ tuyến KP3, phường(xã) Phường Tân Tạo A, Quận Bình Tân, Hồ Chí Minh",,"['Túi xách', 'Mẹ và bé', 'Laptop, Máy tính & Thiết bị văn phòng', 'Phụ kiện công nghệ', 'Tivi - Thiết bị giải trí', 'Máy ảnh - Máy quay phim', 'Đồ điện gia dụng', 'Thiết bị y tế', 'Thiết bị âm thanh', 'Sức khỏe & Làm đẹp', 'Nhà cửa', 'Ô tô - Xe máy', 'Đời sống', 'Tân Trang Nhà Cửa']",https://www.sendo.vn/shop/shopdientuhoanganhgiare/
78,VsionGlobal,0913884786,"625/9-625/11 Xô Viết Nghệ Tĩnh, phường(xã) Phường 26, Quận Bình Thạnh, Hồ Chí Minh",,"['Đồ điện gia dụng', 'Nhà cửa', 'Đồ chơi', 'Voucher dịch vụ']",https://www.sendo.vn/shop/vsionglobal/
79,,,,,,
80,VietGemStones,0985555094,"329 đường số 8, Phường 11, Gò Vấp, HCM, phường(xã) Phường 11, Quận Gò Vấp, Hồ Chí Minh",,[],https://www.sendo.vn/shop/vietgemstones/
81,ThànhCôngMart,0914932002,"Số 26B TT 25 ĐH Thương Mại,  ngõ 58 Ngách 45 Trần Bình, phường(xã) Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",,"['Đồ điện gia dụng', 'Thiết bị y tế', 'Nhà cửa']",https://www.sendo.vn/shop/thanh-cong-mart/
82,vnclean,0986030128,"468 Lê Văn Việt, phường(xã) Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh",,"['Nhà cửa', 'Ô tô - Xe máy', 'Đời sống']",https://www.sendo.vn/shop/vnclean/
83,giao ngay 247,0931879311,"Số 12 An Phú Đông 22, Khu phố 4, P.An Phú Đông, Quận 12, phường(xã) Phường An Phú Đông, Quận 12, Hồ Chí Minh",,"['Mẹ và bé', 'Phụ kiện công nghệ', 'Đồ điện gia dụng', 'Phụ kiện thời trang', 'Nhà cửa', 'Ô tô - Xe máy', 'Tân Trang Nhà Cửa']",https://www.sendo.vn/shop/giao-ngay-247/
84,thư lê,0346321770,"166 Điện Biên Phủ, Lợi Hòa, phường(xã) Phường Cam Lợi, Thành phố Cam Ranh, Khánh Hòa",,"['Túi xách', 'Đồng hồ', 'Sức khỏe & Làm đẹp']",https://www.sendo.vn/shop/thu-le/
85,BestChoice,0989446630,"433 Nơ Trang Long, phường(xã) Phường 13, Quận Bình Thạnh, Hồ Chí Minh",,[],https://www.sendo.vn/shop/bestchoice/
86,Mỹ Phẩm Evi Net,0933503727,"Số 13 Trần Quốc Toản, P. Hòa Phú, Tp. Thủ Dầu Một, Bình DƯơng, phường(xã) Phường Hòa Phú, Thành phố Thủ Dầu Một, Bình Dương",,['Sức khỏe & Làm đẹp'],https://www.sendo.vn/shop/my-pham-evi-net/
87,Mỏ Chu Shop,0902079410,"751/72/7 Hồng Bàng, phường(xã) Phường 06, Quận 6, Hồ Chí Minh",,['Thời trang nữ'],https://www.sendo.vn/shop/mo-chu-shop/
88,BBISHOP'S STORE ,0989501813,"388 Ngô Gia Tự, phường(xã) 4, Quận 10, Hồ Chí Minh",,"['Thời trang nữ', 'Mẹ và bé', 'Thiết bị y tế', 'Sức khỏe & Làm đẹp', 'Bách Hóa Tổng Hợp']",https://www.sendo.vn/shop/bbishop/
89,,,,,,
90,Shop Hyn,0869674736,"227/21 Nguyễn Trọng Tuyển, phường(xã) Phường 08, Quận Phú Nhuận, Hồ Chí Minh",,"['Đồ điện gia dụng', 'Nhà cửa']",https://www.sendo.vn/shop/shop-hyn/
91,Tramruby,0368188288,"Gonwon shop -83 đại la, phường(xã) Phường Trương Định, Quận Hai Bà Trưng, Hà Nội",,"['Thời trang nữ', 'Thời trang nam', 'Phụ kiện thời trang']",https://www.sendo.vn/shop/tramruby/
92,Kính Xinh Shop,0975658788,"449 Kim Ngưu, phường(xã) Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",,['Phụ kiện thời trang'],https://www.sendo.vn/shop/kinh-xinh-shop/
93,HAMY,0933404757,"44/11 đường số 12, phường(xã) Phường Trường Thọ, Quận Thủ Đức, Hồ Chí Minh",,"['Thiết bị y tế', 'Sức khỏe & Làm đẹp', 'Bách Hóa Tổng Hợp']",https://www.sendo.vn/shop/hamy2016/
94,Shop điện tử EH,0976272938,"20B1, Hà Huy Giáp, Khu phố 3A, phường(xã) Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",,"['Điện thoại - Máy tính bảng', 'Laptop, Máy tính & Thiết bị văn phòng', 'Mẹ và bé', 'Phụ kiện công nghệ', 'Máy ảnh - Máy quay phim', 'Đồ điện gia dụng', 'Thiết bị y tế', 'Thiết bị âm thanh', 'Phụ kiện thời trang', 'Nhà cửa', 'Sức khỏe & Làm đẹp', 'Ô tô - Xe máy', 'Thể thao - Dã ngoại - Giải trí', 'Tân Trang Nhà Cửa']",https://www.sendo.vn/shop/shop-dien-tu-eh/
95,trangsuc365vn,0944025888,"Số 5 Ngách 37, Ngõ 353, Đường Bát Khối, phường(xã) Phường Long Biên, Quận Long Biên, Hà Nội",,"['Laptop, Máy tính & Thiết bị văn phòng', 'Phụ kiện công nghệ', 'Thiết bị âm thanh', 'Nhà cửa', 'Sức khỏe & Làm đẹp', 'Trang sức']",https://www.sendo.vn/shop/trangsuc365vn/
96,Lạc Vy,0933428559,"A23/9 Phạm thế Hiển, phường(xã) Phường 03, Quận 8, Hồ Chí Minh",,['Mẹ và bé'],https://www.sendo.vn/shop/lac-vy/
97,Thời Trang Trẻ Em Bảo Minh,0919904871,"85/10/1 đường Trần Vĩnh Kiết, phường(xã) Phường An Bình, Quận Ninh Kiều, Cần Thơ",,"['Mẹ và bé', 'Phụ kiện thời trang']",https://www.sendo.vn/shop/thoi-trang-tre-em-bao-minh/
98,Cửa Hàng Đồ Chơi Công Nghệ,0909952668,"220/21 ÂU CƠ, phường(xã) 9, Quận Tân Bình, Hồ Chí Minh",,"['Tivi - Thiết bị giải trí', 'Điện máy', 'Thiết bị âm thanh', 'Nhà cửa', 'Ô tô - Xe máy', 'Tân Trang Nhà Cửa']",https://www.sendo.vn/shop/cua-hang-do-choi-cong-nghe/
99,GEMI SHOP,0914827931,"Số 45 Phố Viên, phường(xã) Phường Đức Thắng, Quận Bắc Từ Liêm, Hà Nội",,['Giày dép'],https://www.sendo.vn/shop/gemi-shop/
100,The Watch,0979016524," Đại mỗ phường Đại Mỗ Nam Từ Liêm Hà Nội., phường(xã) Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",,"['Thời trang nam', 'Thời trang nữ', 'Đồng hồ']",https://www.sendo.vn/shop/the-watch/
101,đồng hồ hot life,0777997779,"327/ 8/108 nơ trang long , phường(xã) Phường 11, Quận Bình Thạnh, Hồ Chí Minh",,[],https://www.sendo.vn/shop/dong-ho-hot-life/
102,PhuKienNP,0354529470,"320/17M Tôn Thất Hiệp, phường(xã) Phường 12, Quận 11, Hồ Chí Minh",,"['Laptop, Máy tính & Thiết bị văn phòng', 'Phụ kiện công nghệ', 'Tivi - Thiết bị giải trí', 'Máy ảnh - Máy quay phim', 'Thiết bị âm thanh', 'Đồ chơi']",https://www.sendo.vn/shop/phukiennp/
103,VNK Home Shopping,0917549394,"Số 17 Ngõ 2 Giảng Võ, phường(xã) Phường Cát Linh, Quận Đống Đa, Hà Nội",,"['Tivi - Thiết bị giải trí', 'Đồ điện gia dụng', 'Thiết bị y tế', 'Sức khỏe & Làm đẹp', 'Nhà cửa', 'Ô tô - Xe máy', 'Bách Hóa Tổng Hợp']",https://www.sendo.vn/shop/vnkhomeshopping/
104,MUMMY,0765157562,"tô ký, trung mỹ tây, hóc môn, phường(xã) Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",,"['Mẹ và bé', 'Thiết bị y tế', 'Đồ chơi']",https://www.sendo.vn/shop/mummy/
105,ytehainam,0934444007,"Số 361 Đường Giải Phóng, phường(xã) Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",,['Thiết bị y tế'],https://www.sendo.vn/shop/y-te-hai-nam/
106,Ruby_Store,0979857761,"189 B LƯƠNG THẾ VINH, phường(xã) Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội",,"['Phụ kiện công nghệ', 'Đồng hồ']",https://www.sendo.vn/shop/storeruby/
107,Bách Khoa Mobile,0834500840,"Tầng 1 , Lô 4 liền kề 3 khu đô thị Văn Khê - La Khê, Quận Hà Đông - Hà Nội, phường(xã) Phường La Khê, Quận Hà Đông, Hà Nội",,"['Laptop, Máy tính & Thiết bị văn phòng', 'Mẹ và bé', 'Phụ kiện công nghệ', 'Đồ điện gia dụng', 'Thiết bị âm thanh', 'Nhà cửa']",https://www.sendo.vn/shop/bach-khoa-mobile/
108,bé khỏe mẹxinh,0903746596,"206 Phạm văn chiêu, phường(xã) Phường 09, Quận Gò Vấp, Hồ Chí Minh",,['Mẹ và bé'],https://www.sendo.vn/shop/be-khoe-mexinh/
109,Luckys house,0986592238,"169 Nguyễn Ngọc Vũ, P.Trung Hòa, phường(xã) Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",,"['Túi xách', 'Phụ kiện thời trang', 'Đời sống', 'Tân Trang Nhà Cửa', 'Trang sức']",https://www.sendo.vn/shop/luckystar30hn/
110,Không Gian Computer,0886322470,"339/5 Tô Hiến Thành, phường(xã) Phường 13, Quận 10, Hồ Chí Minh",,"['Túi xách', 'Laptop, Máy tính & Thiết bị văn phòng', 'Phụ kiện công nghệ', 'Tivi - Thiết bị giải trí', 'Máy ảnh - Máy quay phim', 'Tân Trang Nhà Cửa']",https://www.sendo.vn/shop/khong-gian-computer/
111,Arashi Shop Online,0937242406,"78/36 An Dương Vương, phường(xã) Phường 09, Quận 5, Hồ Chí Minh",,"['Thời trang nữ', 'Mẹ và bé']",https://www.sendo.vn/shop/arashi-shop-online/
112,NHƯ HỒNG SHOP,0363292887,"22B BÙI HỮU NGHĨA, phường(xã) Phường 05, Quận 5, Hồ Chí Minh",,"['Thời trang nữ', 'Thời trang nam']",https://www.sendo.vn/shop/nhu-hong-shop/
113,Dimond,0396796995,"418/4 Nguyễn Thái Sơn. phuờng 5 quận Gò Vấp, phường(xã) Phường 05, Quận Gò Vấp, Hồ Chí Minh",,"['Thời trang nữ', 'Thời trang nam', 'Mẹ và bé', 'Phụ kiện thời trang']",https://www.sendo.vn/shop/dimond/
114,TIÊU DÙNG THÁI LAN 07839,0908595319,"Chung cư Phú Gia Hưng Đường Lê Đức Thọ, phường(xã) Phường 15, Quận Gò Vấp, Hồ Chí Minh",,"['Thời trang nữ', 'Mẹ và bé', 'Đồ điện gia dụng']",https://www.sendo.vn/shop/tieu-dung-thai-lan-07839/
115,shop tho nhim,0966150383,"173/23/82 khuông việt, phường(xã) Phường Phú Trung, Quận Tân Phú, Hồ Chí Minh",,"['Mẹ và bé', 'Phụ kiện thời trang']",https://www.sendo.vn/shop/shop-tho-nhim/
116,Giày Hutpho,0916816929,"Số 38 đường số 18, phường(xã) Phường Linh Tây, Quận Thủ Đức, Hồ Chí Minh",,['Giày dép'],https://www.sendo.vn/shop/giay-hutpho/
117,DoanhDoanhFashion,0917787466,"43/4 Nguyễn Thái Bình,kp4, phường(xã) Phường Tấn Tài, Thành phố Phan Rang-Tháp Chàm, Ninh Thuận",,"['Thời trang nữ', 'Giày dép', 'Túi xách', 'Mẹ và bé', 'Phụ kiện thời trang', 'Nhà cửa', 'Đồ chơi', 'Đời sống']",https://www.sendo.vn/shop/doanhdoanhfashion/
118,New Feshion Shop,0949053447,"248/29 Nguyễn Thái Bình, phường(xã) Phường 12, Quận Tân Bình, Hồ Chí Minh",,"['Túi xách', 'Mẹ và bé', 'Phụ kiện thời trang', 'Ô tô - Xe máy', 'Thể thao - Dã ngoại - Giải trí']",https://www.sendo.vn/shop/new-feshion-shop/
